web-scraper-order;web-scraper-start-url;titulo;preco;autore
1590766869-656;https://www.amazon.com.br/s?k=feminismo+negro&page1;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766862-532;https://www.amazon.com.br/s?k=feminismo+negro&page3;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766856-445;https://www.amazon.com.br/s?k=feminismo+negro&page5;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766866-607;https://www.amazon.com.br/s?k=feminismo+negro&page2;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766853-389;https://www.amazon.com.br/s?k=feminismo+negro&page6;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766866-596;https://www.amazon.com.br/s?k=feminismo+negro&page2;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766862-574;https://www.amazon.com.br/s?k=feminismo+negro&page3;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766850-360;https://www.amazon.com.br/s?k=feminismo+negro&page7;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766856-443;https://www.amazon.com.br/s?k=feminismo+negro&page5;O perigo de uma história única;R$ 8,90;por Chimamanda Ngozi Adichie e Julia Romeu
1590766856-446;https://www.amazon.com.br/s?k=feminismo+negro&page5;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
1590766856-438;https://www.amazon.com.br/s?k=feminismo+negro&page5;Mulheres, raça e classe;R$ 25,11;por Angela Davis, Rosane Borges, e outros.
1590766862-534;https://www.amazon.com.br/s?k=feminismo+negro&page3;Mulheres, raça e classe;R$ 25,11;por Angela Davis, Rosane Borges, e outros.
1590766869-671;https://www.amazon.com.br/s?k=feminismo+negro&page1;Ó pa í, Prezada;R$ 41,76;por Carla Akotirene
1590766866-594;https://www.amazon.com.br/s?k=feminismo+negro&page2;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766850-350;https://www.amazon.com.br/s?k=feminismo+negro&page7;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
1590766856-456;https://www.amazon.com.br/s?k=feminismo+negro&page5;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766850-339;https://www.amazon.com.br/s?k=feminismo+negro&page7;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766859-507;https://www.amazon.com.br/s?k=feminismo+negro&page4;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766850-384;https://www.amazon.com.br/s?k=feminismo+negro&page7;No fundo do poço;R$ 45,89;por Buchi Emecheta
1590766859-490;https://www.amazon.com.br/s?k=feminismo+negro&page4;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766862-531;https://www.amazon.com.br/s?k=feminismo+negro&page3;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766850-344;https://www.amazon.com.br/s?k=feminismo+negro&page7;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766850-383;https://www.amazon.com.br/s?k=feminismo+negro&page7;Ó pa í, Prezada;R$ 41,76;por Carla Akotirene
1590766853-396;https://www.amazon.com.br/s?k=feminismo+negro&page6;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766862-563;https://www.amazon.com.br/s?k=feminismo+negro&page3;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766862-536;https://www.amazon.com.br/s?k=feminismo+negro&page3;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766853-418;https://www.amazon.com.br/s?k=feminismo+negro&page6;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766850-377;https://www.amazon.com.br/s?k=feminismo+negro&page7;Mulheres, cultura e política;R$ 25,11;por Angela Davis e Vilma Reis
1590766853-412;https://www.amazon.com.br/s?k=feminismo+negro&page6;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766850-370;https://www.amazon.com.br/s?k=feminismo+negro&page7;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766856-440;https://www.amazon.com.br/s?k=feminismo+negro&page5;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766853-429;https://www.amazon.com.br/s?k=feminismo+negro&page6;Fique comigo;R$ 28,72;por Ayobami Adebayo e Marina Vargas
